id,sentence,acceptable,error_type,detailed_source
6018,"Я видел по телевизору ""Галатею"".",1,0,Paducheva2010
6019,"Пишите рассказы, встречайте поезда дальнего следования, смейтесь, сочувствуйте страждущим.",1,0,Paducheva2010
6020,В отдалении показался человек.,0,Semantics,Seliverstova
6021,"Никогда не знавшая семейного уюта Алена пригрелась возле Нины Карповны, как бездомный котенок.",1,0,Seliverstova
6022,Никому не было холодно.,1,0,Testelets
6023,"Он вспомнил, как ее зовут.",1,0,Paducheva2004
6024,Я не читаю газет.,1,0,Mitrenina
6025,"Руководитель серьёзного проекта, в котором принимают участие сотни людей, должен быть глубокой и цельной личностью.",1,0,USE5
6026,"Те, кто с лёгкостью осваивает материал, вынужден ждать, пока с ним справятся отстающие.",0,Syntax,USE8
6027,По окончанию гастролей у музыкантов было уже довольно много идей для записи нового альбома.,0,Syntax,USE8
6028,"И сам выбрал ему имя ― Амир, что переводится как «повелитель».",1,0,Rusgram
6029,У меня есть гордость.,1,0,Seliverstova
6030,"Таня обрадовалась, что никому ничего не надо объяснять, и опять пошла шататься без цели и без смысла.",1,0,Paducheva2013
6031,"На одном из верхних этажей здания в это время находилась уборщица, которая и предотвратила пожар.",1,0,Paducheva2004
6032,"Свет — главный регулятор биологических ритмов, и уровень мелатонина напрямую зависит от того, что темно ли вокруг нас или светло.",0,Syntax,USE8
6033,На каждой странице осталось по кляксе.,1,0,Rusgram
6034,"Удачливый охотник окружён всеобщим почётом: нет большей чести, чем накормить мясом всю деревню.",1,0,USE5
6035,Он остался очень доволен своей неудачной остротой.,1,0,Paducheva2010
6036,"Я — это я, единственный, неповторимый, как и каждый живущий на земле человек.",1,0,Seliverstova
6037,"Гулко пришлепывая сандалиями, взвилась на дороге пыль.",0,Syntax,USE8
6038,Муж Марии воображает себя гением.,1,0,Paducheva2013
6039,Он называл соседа гусаком.,1,0,Paducheva2010
6040,"Мать дала ему свою необыкновенную красоту, а отец — исключительную физическую силу.",1,0,Seliverstova
6041,"Это серьезная и глубокая брошюра, и читать ее быстро я не могу.",0,Semantics,Paducheva2004
6042,"Лингвистика не теряет не только своеобразия своих методов, но и щедро делится ими со смежными науками.",0,Syntax,USE8
6043,В библиотеке всегда кто-нибудь сидит.,1,0,Seliverstova
6044,Необходимость в сумке-термосе может возникнуть во время длительной поездки на машине либо по приезду на дачу в жаркий полдень.,0,Syntax,USE8
6045,По ребенку сделало себе бутерброды.,0,Syntax,Testelets
6046,Выстрелов больше не раздавалось.,1,0,Paducheva2013
6047,"Хотя он всегда с собой кого-то брал, на случай поломок или возможных недоразумений, но автомобилем он правил сам.",0,Semantics,Seliverstova
6048,Парк хоть раз окружал усадьбу?,1,0,Paducheva2013
6049,"По-моему, здесь пахнет газом.",1,0,Paducheva2004
6050,На нашей фабрике существует доктор.,0,Semantics,Seliverstova
6051,Своя комната убрана каждым мальчиком.,0,Syntax,Mitrenina
6052,Я не воспринимаю этого человека.,0,Semantics,Seliverstova
6053,Снял ружьё и думаю ― не пора ли мне застрелиться?,1,0,Rusgram
6054,"Письмо, которого он давно ждал, в конце концов пришло к Ивану.",1,0,Testelets
6055,"Проводя время в постоянных увеселениях, Стрекозу врасплох застала зима.",0,Syntax,USE8
6056,Левой рукой он сжимал хрустящую бумажку.,1,0,Paducheva2004
6057,Благодаря использования инновационных технологий заметно повысилось качество выпускаемой продукции.,0,Syntax,USE8
6058,Он сидел за своим письменным столом и работал.,1,0,Seliverstova
6059,"Кто, ты думаешь, придет?",1,0,Mitrenina
6060,Тебе надо как следует переотдохнуть.,0,Morphology,Rusgram
6061,Она стояла у брата.,0,Semantics,Seliverstova
6062,Она удивительно милый человек.,1,0,Seliverstova
6063,"Я случайно стоял поодаль и слышал, что он сказал.",0,Semantics,Seliverstova
6064,"Ну, а когда не было, сама шла добывать и рубить дрова ― тут она человек не гордый и на принцип не идет.",1,0,Paducheva2004
6065,Эта музыка только мерещилась тебе.,1,0,Seliverstova
6066,Почему же вы не убедили его поехать с нами?,1,0,Paducheva2013
6067,"Иван ли пришел на спектакль, несмотря на головную боль?",1,0,Testelets
6068,Магазин открыт час назад.,1,0,Paducheva2004
6069,"Ширмы, разграничившие внутреннее пространство, в большинстве были задвинуты.",1,0,USE5
6070,"Она как-то странно восприняла то, что я ей сказала.",1,0,Seliverstova
6071,"Он пришел не потому, что соскучился.",1,0,Paducheva2013
6072,"Возможности пересечь границу А.С. Пушкин окончательно лишился после написания оды «Вольность», обвиняющую императора в отцеубийстве.",0,Syntax,USE8
6073,"Одна из учениц нашей Школы, московская школьница Светлана Архипова, установила рекорд скорости чтения ― 60 тыс. знаков в минуту зарегистрированный в российской Книге рекордов Гиннесса.",1,0,Testelets
6074,Правительство совершенно не собирается идти на какие-либо уступки и просто тянет время.,1,0,Paducheva2013
6075,"Жестокая, почти невыносимая боль пронзила его тело.",1,0,USE5
6076,Этот день был очень тяжелым.,1,0,Testelets
6077,"Что полиция арестует несколько демонстрантов, не вызывало сомнений.",0,Syntax,Mitrenina
6078,"И он плачет, он обещает, чтобы вести себя хорошо.",0,Syntax,Testelets
6079,Да кому он нужен?,1,0,Paducheva2013
6080,"Приди он на час раньше, ничего бы не случилось.",1,0,Paducheva2010
6081,"Кто, как не классики литературы, должны быть авторитетом в плане владения русским языком?",0,Syntax,USE8
6082,"В домах, площадях, парках было совсем темно, стояла глубокая ночь, от которой веяло чем-то загадочным и таинственным.",0,Syntax,USE8
6083,"Англичане Олкок и Браун были первыми из людей, испытавших острую рассинхронизацию биологических ритмов.",0,Syntax,USE8
6084,Я с трудом провел целый день дома.,1,0,Seliverstova
6085,Вы нарушаете наши правила!,1,0,Paducheva2010
6086,Его не было дома два дня.,1,0,Paducheva2004
6087,"Провожая взглядом осенний караван журавлей, деду Семёну всегда становилось грустно.",0,Syntax,USE8
6088,Я не вижу солнце.,1,0,Paducheva2013
6089,Инспекторы рыбнадзора продолжают выявлять злостных браконьеров на реках.,1,0,USE5
6090,Удачная переработка рукописи длилась несколько лет.,0,Semantics,Paducheva2004
6091,"Некоторые члены этой группы действительно существовали, а остальные придуманы.",1,0,Seliverstova
6092,Письма Сельвинского молодым поэтам удивляют своей щедростью.,1,0,Paducheva2013
6093,"Нужно стараться обращать внимание на явление в целом, а не на единичные его проявления.",1,0,USE5
6094,С удовольствием приду в любое место с женой для опроса.,1,0,USE7
6095,Категорически запрещалось вступать с ними в какие бы то ни было разговоры.,1,0,Paducheva2013
6096,"На кровати на одеяле лежали сорочки, чулки и белье, скомканное же белье валялось просто на полу рядом с раздавленной в волнении коробкой папирос.",1,0,Seliverstova
6097,На тротуаре каждый день спотыкалось по старушке.,0,Semantics,Rusgram
6098,У крайней избы поселка стояла баба в короткой исподнице.,1,0,Seliverstova
6099,Это конец какой бы то ни было свободной экономике.,1,0,Paducheva2013
6100,Ты давно не был в Москве.,1,0,Paducheva2013
6101,Офицер повторил конвойному приказание взять девочку.,1,0,Seliverstova
6102,У тебя есть чем писать?,1,0,Seliverstova
6103,Никого из них не было на своем месте.,1,0,Paducheva2013
6104,"И у меня возникали некоторые сомнения, он всегда говорил очень убедительно.",0,Syntax,Testelets
6105,"Я, честно говоря, не знаю заведений подобного формата ни в Москве, ни на Западе.",1,0,Paducheva2013
6106,Установка не работала и трех лет.,1,0,Paducheva2013
6107,Это было во вторник.,1,0,Paducheva2010
6108,"Наклонись ко мне, я тебе кое-что скажу.",1,0,Paducheva2010
6109,"В этой комнате, где в шестнадцать лет выздоравливал Ганин, и зародилось то счастье, тот женский образ, который, спустя месяц, он встретил наяву.",1,0,Paducheva2013
6110,"Я вижу, Джона здесь нет.",1,0,Paducheva2010
6111,"Я заметила, что он действительно постарел.",1,0,Paducheva2004
6112,Мать убаюкивала ребенка тихим пением.,1,0,Paducheva2004
6113,Она выполняет первую половину вашего задания.,1,0,Paducheva2010
6114,Недавно к нам приехал знакомый из Болгарии.,1,0,Paducheva2004
6115,Мне нужно получить ботинки в мастерской.,1,0,Seliverstova
6116,Ее рука доверчиво лежит на его плече.,1,0,Seliverstova
6117,"Вася сказал, что он купил мне какую-то книгу.",1,0,Paducheva2010
6118,"Ни головная компания, ни ее «дочки» не подавали заявление в ГТК.",1,0,Paducheva2013
6119,Замужество решило ее жизненную проблему.,1,0,Paducheva2004
6120,Он долго не приходил.,1,0,Paducheva2013
6121,Он говорил об упразднении всяких званий.,1,0,Paducheva2013
6122,После операции пациентам советуют не разбинтовыватъ руку от хирургического бинта самостоятельно.,0,Syntax,Testelets
6123,"Я не могла прийти, потому что у меня было собрание.",1,0,Seliverstova
6124,Образованность и неспособность нормально общаться с людьми не исключают друг друга.,1,0,Rusgram
6125,"Если Иван-то справится, я первый буду удивлен.",0,Semantics,Paducheva2010
6126,Он объясняет отсутствие аппетита утомлением.,1,0,Paducheva2004
6127,Мощный водопад в окружении гор представлял собой величественное зрелище.,1,0,USE5
6128,"Широкий мост, за которым открывались Подьяческие улицы, оставался по правую руку.",1,0,Testelets
6129,У меня есть сын.,1,0,Seliverstova
6130,Развал нашей лаборатории –– вина заведующего.,1,0,Paducheva2004
6131,"Но буквально в полутора метрах к северу от центральной гробницы мы вскоре обнаружили вторую могилу, не тронутую грабителями.",1,0,USE7
6132,Снега на полях уже не лежало.,1,0,Paducheva2013
6133,"Он прав, я понимают.",0,Semantics,Seliverstova
6134,Он строил мосты через Волгу.,1,0,Paducheva2010
6135,"Маша читает, и Саша книгу.",0,Syntax,Testelets
6136,Мне не хотелось бы говорить о своем литературном опыте.,1,0,Rusgram
6137,Однажды она встретила его принаряженной.,1,0,Testelets
6138,У меня служба — у нее связи и маленькие средства.,1,0,Seliverstova
6139,Я даю тебе полную свободу.,1,0,Seliverstova
6140,Он преодолел уже две трети расстояния.,1,0,Paducheva2010
6141,Правительство совершенно не собирается идти ни на какие уступки и просто тянет время.,1,0,Paducheva2013
6142,"На требование Дурманова показать эту программу чиновники МОК сразу заявили: «О, мы забыли сказать – это был ручной жребий».",1,0,Lutikova
6143,"Я считаю, когда ты принял решение сесть за руль пьяным, ты уже преступник.",1,0,Lutikova
6144,"На первом этапе, согласно этой методики, решается система линейных неравенств или уравнений.",0,Syntax,USE8
6145,Одолжи отвертку разобрать механизм!,1,0,Testelets
6146,Эти стены видели многое.,1,0,Paducheva2004
6147,"Наклонившись, чтобы посмотреть на море, его смыло за борт.",0,Syntax,Rusgram
6148,Плащ давно защитил меня от дождя.,0,Semantics,Paducheva2004
6149,"Она дала ему три карты, с тем, чтобы он поставил их одну за другой, и взяла с него честное слово впредь уже никогда не играть.",1,0,Seliverstova
6150,Сама Поля могла ввернуть ― мало не покажется.,1,0,Paducheva2013
6151,Крепость все еще была окружена противником.,1,0,Testelets
6152,"Посыльный молча поднялся со стула и выскочил из комнаты, прихватив пустые термоса.",0,Morphology,USE7
6153,Дорога проходит через лес.,1,0,Paducheva2004
6154,В 1980 году исполнялось столетие со дня рождения Блока.,1,0,Paducheva2013
6155,Вчера в два часа магазин закрыли и открыли только сегодня.,1,0,Paducheva2004
6156,"Тогда иди, пока у меня есть время.",1,0,Paducheva2010
6157,Недалеко от меня возле избушки человек копал канаву.,1,0,Seliverstova
6158,Сейчас я пишу статью о местоимениях.,1,0,Paducheva2010
6159,Он рискует попасть за решетку.,1,0,Paducheva2004
6160,"Если ты будешь решать какую-нибудь из этих задач, то пользуйся аналитическими уравнениями.",1,0,Seliverstova
6161,"А у Дениса Ивановича двух зубов уже нет, это видно, когда он улыбается.",1,0,Rusgram
6162,Перед началом занятия он открывает окно.,1,0,Paducheva2013
6163,"Тут Паша Эмильевич, обладавший сверхъестественным чутьем, понял, что сейчас его будут бить, может быть, даже ногами.",1,0,Testelets
6164,"Он купит машину, если только не пропьет все деньги.",1,0,Paducheva2013
6165,"Директор попросил учителей прислать отчеты к восьми вечера и умолял, чтобы они не наделали ошибок.",0,Syntax,USE8
6166,Все они что-нибудь делали.,1,0,Seliverstova
6167,Я принимаю его за порядочного человека.,1,0,Seliverstova
6168,"Вставай, вставай! –– дребезжала ему на ухо нежная супруга.",1,0,Paducheva2004
6169,"Он сумел это сделать быстрее, чем кто-либо ожидал.",1,0,Paducheva2013
6170,В прошлом году он написал портрет молодой женщины.,1,0,Seliverstova
6171,"Я думаю, что он хоть пальцем пошевелит, чтобы помочь тебе.",0,Semantics,Mitrenina
6172,Я обнаружил его лежащим одним на кровати.,0,Syntax,Testelets
6173,Он достал платок из кармана.,1,0,Seliverstova
6174,Он полностью загрузил сено в грузовик.,1,0,Testelets
6175,У меня возникло подозрение.,1,0,Seliverstova
6176,Маша залила картошку водой.,1,0,Paducheva2004
6177,Вижу ее как сейчас.,1,0,Paducheva2004
6178,Колонизаторы сводят под корень — на топливо — почти все леса и устроили на их месте пастбища.,0,Syntax,USE8
6179,Невдалеке от горы стояла сакля.,0,Semantics,Seliverstova
6180,Гессен не был виновен в каких-либо преступлениях.,1,0,Paducheva2013
6181,"О каком хлебе речь, когда его давно нет в природе?",1,0,Paducheva2004
6182,"Двулетние растения в первый год своей жизни не только цветут, а накапливают питательные вещества в корнях.",0,Syntax,USE8
6183,Возьмите из моего чемодана полотенце.,1,0,Seliverstova
6184,Он купил несколько журналов.,1,0,Paducheva2010
6185,Я надеюсь только на чудо.,1,0,Seliverstova
6186,Из между двойными рамами ее уже невозможно было достать.,0,Syntax,Rusgram
6187,"Иван не знал, что там есть гостиница.",1,0,Paducheva2004
6188,Я огорчил отца своим проигрышем.,1,0,Paducheva2013
6189,Меня вчера не было в кино.,1,0,Paducheva2004
6190,"Как он рассчитывает, Маша вернется завтра.",1,0,Paducheva2010
6191,"Если бы быть честным, я был бы за то, чтобы Гетце играл по центру.",0,Syntax,Rusgram
6192,"Я боюсь, что это сделал кто-нибудь из них.",1,0,Seliverstova
6193,"Выбирает себе жену обыкновенно в другой станице и чтоб её похитить, пользуется отсутствием ближних и друзей.",1,0,Paducheva2004
6194,"Вся дорога должна быть в поле зрения водителя, находясь за рулём автомобиля.",0,Syntax,USE8
6195,Крестьянин был убит разбойниками.,1,0,Paducheva2004
6196,"Они ей отказали, дураки.",1,0,Paducheva2010
6197,"Поэтому он так и ответил, что ягод в тундре много.",1,0,Rusgram
6198,Николай Евграфыч глядит на этой фотографии простаком.,1,0,Paducheva2004
6199,"Вчера у меня была Маша, и я отдала ей все деньги, которые у меня были.",1,0,Seliverstova
6200,Девочка из соседнего подъезда поступила в МГУ.,1,0,USE5
6201,Такая большая пропала сумка.,1,0,Testelets
6202,"Пулю нашли почти сразу — она пролетела над столом и ударилась в стену недалеко от кресла Супрунова, на высоте груди стоящего человека.",1,0,Seliverstova
6203,У большой черной «Волги» стоял красный «Москвич».,0,Semantics,Seliverstova
6204,Резким выкриком Иван обнаружил свою досаду.,1,0,Paducheva2004
6205,Все гости перепробовали этот торт.,1,0,Testelets
6206,Весь день я простоял около станка.,0,Semantics,Seliverstova
6207,У меня есть сила.,1,0,Seliverstova
6208,"Я колебался, стоит ли идти, но сильный дождь решил мое недоумение.",1,0,Paducheva2004
6209,Он получил пожатие руки.,0,Semantics,Seliverstova
6210,Он сделал вид дурачка.,0,Semantics,Seliverstova
6211,Мною слышатся какие-то звуки.,0,Syntax,Rusgram
6212,Нильские крокодилы раньше достигали 10 м в длину.,1,0,Paducheva2010
6213,Альфред не не любит современную музыку.,1,0,Paducheva2013
6214,"И на всех проходящих мимо напал такой страх, и все, кто был близ меня пустились бежать.",0,Semantics,Seliverstova
6215,"Раньше я вымыла пол, а потом пошла гулять.",0,Semantics,Seliverstova
6216,У памятника собралось около тысячи человек.,1,0,Paducheva2010
6217,"Он давно пришел, а потом ушел.",0,Semantics,Paducheva2004
6218,"Около нашей дачи, ни от кого не таясь и не прячась, КГБ установил дежурство — черная Волга, а в ней несколько человек.",1,0,Seliverstova
6219,Ты в торт рукавом попал.,1,0,Testelets
6220,На полу имеются окурки.,0,Semantics,Paducheva2004
6221,"Раньше я думала, что он действительно талантливый ученый.",1,0,Seliverstova
6222,За кого Вы собственно меня принимаете?,1,0,Seliverstova
6223,"Он ищет кого-нибудь, кто бы мог ухаживать за его больной матерью.",1,0,Seliverstova
6224,У Нижнего Новгорода Волга достаточно широка.,1,0,Seliverstova
6225,"В тот момент я считала, что я права.",1,0,Paducheva2010
6226,Я дал ему деньги.,1,0,Seliverstova
6227,Он не дошел до деревни.,1,0,Paducheva2013
6228,Он покупает несколько журналов.,0,Semantics,Paducheva2010
6229,"Серёжа, впечатлившись тем, что он увидел, пообещал себе, что с этого дня будет защищать и помогать всем, кто в этом нуждается.",0,Syntax,USE8
6230,"Около горящей избы стало жарко и так светло, что видна была каж дая травинка.",1,0,Seliverstova
6231,Петя Иванов обычно хорошо моет руки.,1,0,Mitrenina
6232,Стаканы будут ставить в шкаф.,1,0,Testelets
6233,Фильм смотрится школьниками.,0,Syntax,Rusgram
6234,Я получила десять рублей.,1,0,Seliverstova
6235,Он не прислал ответ.,1,0,Testelets
6236,"Впрочем, идея с «пролеченными больными», мягко говоря, не нова.",1,0,Paducheva2013
6237,Она не придала никакого значения моим словам.,1,0,Seliverstova
6238,"Я был убежден, что передо мной подающий надежды молодой коллега, а тут, оказывается, я уже целый час имею дело с инженером будущего.",1,0,Paducheva2010
6239,У него в отделе хорошие биохимики.,1,0,Seliverstova
6240,Вскоре он был оставлен самыми близкими друзьями и зол на весь мир.,0,Syntax,Testelets
6241,"Эта гипотеза, которая Бор рассказывал, что была предложена Дираком в 1930 г.",0,Syntax,Testelets
6242,"Вот теплятся желтые свечи, забытые в окне жителя города.",0,Semantics,Seliverstova
6243,Но Коле не помог его единоверец.,1,0,Testelets
6244,"Почти все астрономические труды, которые я опубликовал за это время, берут своё начало в той или иной главе моей первой работы.",1,0,Rusgram
6245,Он воодушевил меня своей пламенной речью.,1,0,Paducheva2004
6246,Он не высказал каких бы то ни было интересных соображений.,1,0,Rusgram
6247,У института валялись трупы.,1,0,Seliverstova
6248,Меня не оказалось дома.,1,0,Paducheva2004
6249,Унас был важный разговор с пяти до семи.,1,0,Seliverstova
6250,Я испугался его прихода.,1,0,Paducheva2004
6251,"Когда я вошел в аудиторию, он открывал окно.",1,0,Paducheva2013
6252,У нее есть уродство.,0,Semantics,Seliverstova
6253,"Вероятно, я ее обидел необдуманным глупым словом.",1,0,Seliverstova
6254,"Закончив все сборы, по громкой связи было объявлено о том, что на первом этаже корпуса №1 состоится общая заключительная встреча.",0,Syntax,USE8
6255,В этом доме Пушкин когда-то читал «Бориса Годунова».,1,0,Paducheva2013
6256,"Зато они и жили в Коломне, которая, он не помнил, чтобы которая так уж пострадала.",1,0,Lutikova
6257,Он дал мне рану.,0,Semantics,Seliverstova
6258,"В прошлом году я была толстой, а потом похудела.",1,0,Seliverstova
6259,Он пришел откуда-то изблизи.,1,0,Seliverstova
6260,"Он пошел к брату, чтобы узнать что-нибудь о случившемся.",1,0,Seliverstova
6261,Они решили сами распоряжаться.,1,0,Testelets
6262,"Эта ваза стоит 300 рублей, но я отдам ее за 250 рублей.",1,0,Seliverstova
6263,"Ядерные испытания ни в России, ни в США не прекращались.",1,0,Rusgram
6264,Охота была ему жениться!,1,0,Paducheva2010
6265,Зимний дворец строил Растрелли.,1,0,Paducheva2010
6266,"Помимо недосыпа, хронического стресса и депрессии к снижению памяти может приводить и другие расстройства.",0,Syntax,USE8
6267,"Вторую половину группы составляли громкоголосые, ярко одетые девицы, все без исключения сильно накрашенные и с наращенными ногтями.",1,0,USE5
6268,Тут нет моего мобильника.,1,0,Paducheva2013
6269,"Я принимаю совет, который вы ей дали.",0,Semantics,Seliverstova
6270,"Мальчик мечтал о том, чтобы увидеть слона.",1,0,Seliverstova
6271,"Говорите, кто вы такой!",1,0,Paducheva2010
6272,Бутылка не в холодильнике.,1,0,Paducheva2004
6273,Отменены все телесные наказания.,1,0,Paducheva2013
6274,Они разговаривали не громко.,1,0,Paducheva2013
6275,Пять бандитов лежали на земле раненые.,1,0,Lutikova
6276,Эта мысль прослеживается у Тютчева.,1,0,Paducheva2004
6277,Он принял командование над армией.,1,0,Seliverstova
6278,"Владимир уже не существовал: он умер в Москве, накануне вступления французов.",1,0,Paducheva2004
6279,"Он отрастил небольшую бородку, а страдальческое выражение не сходило с его лица даже в минуты довольства.",1,0,USE5
6280,Мне нужно во что бы то ни стало получить это кольцо.,1,0,Seliverstova
6281,Роскошь все еще имела для него прелесть новизны.,1,0,Seliverstova
6282,Петя принял решение уехать.,1,0,Lutikova
6283,Просто Герман оказался здоровее других.,1,0,USE7
6284,Он дал мне десять рублей.,1,0,Seliverstova
6285,Так я ему и поверю!,1,0,Paducheva2013
6286,Никто не превосходит римлян в доблести.,1,0,Testelets
6287,Вблизи монастыря богатый отобрал у нищего свинью.,1,0,Seliverstova
6288,После этого они начали громко разговаривать.,1,0,Paducheva2013
6289,Ответ из полка не пришел.,1,0,Paducheva2013
6290,Сверкавшие звёзды на небе искрились и переливались всеми цветами радуги.,0,Syntax,USE8
6291,"Как говорит Аристотель, человек обладает свободой воли, потому что он в одинаковой мере властен в выборе добра и зла.",1,0,Paducheva2010
6292,Тут перед глазами Римского возник циферблат его часов.,1,0,Paducheva2004
6293,Мальчик выглядывает из окна.,1,0,Paducheva2004
6294,"Мария считает, что какой-то крокодил пугает ее кошку.",1,0,Paducheva2010
6295,Коллеги собирались арендовать клуб для проведения собрания.,1,0,Testelets
6296,Он не пошел на работу.,1,0,Paducheva2013
6297,Я стою прямо рядом с метро.,1,0,Seliverstova
6298,"Он почему-то решил то, что ему надо срочно бежать на вокзал за билетом, потому что боялся опоздать.",0,Syntax,USE8
6299,"Пока ещё есть время понять, что от надёжности микроэлектроники не только зависят успешные запуски роботов, но и жизнь космонавтов.",0,Syntax,USE8
6300,Небольшая картина в углу остановила его внимание.,1,0,Paducheva2004
6301,Он давно нам не писал.,1,0,Paducheva2004
6302,При нагревании вода дает пар.,0,Semantics,Seliverstova
6303,"Когда отец Мухина после речи пополнился на сто пятьдесят граммов водки, то утратил всякий интерес к происходящему.",1,0,Paducheva2013
6304,"Мальчик мечтал о том, чтобы увидеть какого-нибудь слона.",0,Semantics,Seliverstova
6305,Всю молодость она любила говорить по телефону.,0,Semantics,Paducheva2010
6306,"Я сказал, чтобы Верочка шла домой.",1,0,Seliverstova
6307,Прямо против двери есть пруд.,0,Semantics,Seliverstova
6308,Разве есть смысл что-нибудь менять?,1,0,Paducheva2013
6309,"Когда я позвонил Маше, она пришла.",1,0,Testelets
6310,"Ему повезло, что он встретил эту женщину.",1,0,Paducheva2013
6311,"Мама с утра пошла косить сено, чтобы было, чем кормить коровку зимой.",1,0,Paducheva2004
6312,"Если в воздухе звуковые волны распространяются со скоростью в триста тридцать метров в секунду, то в воде эта скорость равна тысяче пятистами метрам в секунду.",0,Morphology,USE7
6313,В прошлом месяце я болел.,1,0,Paducheva2013
6314,"Он, возможно, знает об этом?",1,0,Paducheva2010
6315,Лейтенант-коммандер Ходжкинсон получил приказ быть готов к взлету.,1,0,Lutikova
6316,"Автор «Слова о полку Игореве» призывал к единению русских князей, постоянно враждующим друг с другом.",0,Syntax,USE8
6317,Какой же я посторонний!,1,0,Paducheva2013
6318,"Возле самого его лица блестели два огромных глаза, и эти глаза пугали и притягивали его.",1,0,Seliverstova
6319,Раньше к нему заходили товарищи.,1,0,Paducheva2010
6320,Героиня фильма любит модную одежду и вкусно поесть.,0,Syntax,USE8
6321,Весь день Маша была в комнате.,1,0,Seliverstova
6322,Я отдам тебе свою дочь.,1,0,Seliverstova
6323,"Ей снится, что будто бы она идет по снеговой поляне, а вокруг птицы чудные летают.",0,Syntax,USE8
6324,"Пиросмани усмехался: эти двое молодых людей думают, что где-то на земле для него есть место, и есть круг людей, который он имеет право назвать своим.",1,0,Lutikova
6325,Мне выступать следующим и уже напомнили об этом.,0,Syntax,Testelets
6326,"Есть люди, которые всегда считают то, что виноваты не они, а другие.",0,Syntax,USE8
6327,"В этих условиях кристаллы не образуются, а разрушаются.",1,0,Paducheva2013
6328,"На меже, близ дороги, стоял трактор.",1,0,Seliverstova
6329,Там есть сущий ужас.,0,Syntax,Testelets
6330,Иван оставил надежду встретиться с тобой сам.,1,0,Testelets
6331,У кого-нибудь из моих малышей в кармане лежит горсть сладких вишен.,1,0,USE7
6332,"Читая романы Дюма, пробуждается интерес к изучению зарубежной истории.",0,Syntax,USE8
6333,"Как облако в небе, белые хлопья вдруг сливаются воедино, и перед вами ее фигурка.",1,0,Paducheva2004
6334,"Говоря, например, о картине Александра Иванова «Явление Христа народу», он восхищается ею прежде всего как народной картиной, начисто отвергая любые мистико-религиозные ее толкования.",1,0,Paducheva2013
6335,Я купался в горном озере.,1,0,Paducheva2010
6336,Брат надеется на поступление в университет.,1,0,Testelets
6337,Мне ни рубля не накопили строчки.,1,0,Paducheva2013
6338,"Он тоже был зачинщиком, хотя в последнюю минуту решил не принимать участия.",1,0,USE5
6339,Никакого Беннета в гостинице не останавливалось.,1,0,Paducheva2013
6340,Вот пошел Иван в лес.,1,0,Paducheva2010
6341,"Иван потом говорил, что только мое тело белело в темноте.",1,0,Paducheva2010
6342,Отец еще остался на работе.,1,0,Paducheva2004
6343,Я видел ее только в профиль.,1,0,Paducheva2004
6344,"А вот сидит возле Ирочки, будто сам парализованный.",1,0,Seliverstova
6345,"Я чувствую, что он, наверное, где-то поблизости.",0,Semantics,Paducheva2010
6346,"Он хоть и проиграл в карты целое состояние, но по крайней мере не опозорил семью женитьбой на служанке.",1,0,Paducheva2013
6347,Он ест одну мо ковку.,1,0,Paducheva2010
6348,"Потом она достала книжку, села у лампы, подождала около часу и, наконец, сама легла в постель.",1,0,Seliverstova
6349,Он отдал мне свой велосипед на время.,1,0,Paducheva2004
6350,"Господа, поверьте, что я постараюсь быть достойным той чести, которую мне делает Раиса Павловна, избирая меня своим супругом.",1,0,USE5
6351,"На ужин у нас огромный-огромный пирог с повидлой, сто котлет и мороженое.",0,Morphology,USE7
6352,Мне случалось терять паспорт.,1,0,Paducheva2010
6353,Отца не было на море.,1,0,Paducheva2013
6354,Я тогда не могла сказать что-нибудь.,0,Semantics,Seliverstova
6355,Иван не попал на выставку.,1,0,Paducheva2013
6356,Он воздержался от всех комментариев.,1,0,Paducheva2013
6357,Объяснение с ним я беру на себя.,1,0,Seliverstova
6358,"Вследствие этого решено было летом уехать этим в Самарские степи, где у папа было имение.",0,Syntax,Testelets
6359,"Мы изучили недры Земли хуже, чем поверхность Марса или Луны.",0,Morphology,USE7
6360,Сообщение не обидело Марию.,1,0,Paducheva2013
6361,Я обнаружил его лежащим одного на кровати.,1,0,Testelets
6362,У меня было с ним неприятное столкновение.,1,0,Seliverstova
6363,"Тем, кто ценят культурно-познавательную сторону отдыха, прямая дорога к живописным развалинам финикийских времен.",0,Syntax,USE8
6364,"Я хочу, чтобы ты вернешься а я уйду.",0,Syntax,Rusgram
6365,"Хотелось бы подтвердить выводы на данных, полученных экспериментальным путём.",0,Syntax,USE8
6366,Мой проигрыш огорчил отца.,1,0,Paducheva2013
6367,Производственные помещения соответствуют нормативам по освещённости.,1,0,USE5
6368,Саша получил письмо сегодня.,1,0,Testelets
6369,План Саши Маша продать квартиру.,0,Syntax,Testelets
6370,Я не всегда буду с вами.,1,0,Paducheva2013
6371,Лена собиралась пообещать мужу больше не ездить туда одна.,1,0,Testelets
6372,У нас гостей не обедало.,0,Syntax,Testelets
6373,Моргал он после этого неровно.,1,0,Paducheva2010
6374,"Максим Горький писал, что: «Надо говорить по-русски, а не по-вятски и не по-балахонски».",0,Syntax,USE8
6375,Мы с ними договорились.,1,0,Testelets
6376,Инна у купила платье.,1,0,Testelets
6377,Французы всегда верны себе.,1,0,Seliverstova
6378,Я не дочитал вашу рукопись.,1,0,Paducheva2013
